word,POS
þis,PD
his,PS
sy,NB
forewearde,V-
þe,G-
Brichtric,NE
7,R-
his,PS
gebedde,NB
habbað,V-
wið,R-
þa,PD
canonicas,NB
",",C-
þæt,G-
his,PS
þæt,G-
heo,PP
sculan,V-
habban,V-
heora,PS
beira,NB
dæi,PY
anes,NB
canonikes,NB
gerihte,V-
on,R-
mete,NB
7,DF
on,R-
eale,NB
7,G-
heo,PP
habbað,V-
geunnen,V-
hyra,PS
land,NB
þam,PD
canonike,NB
scær,DF
7,PY
saccleas,NB
",",C-
7,NE
æfter,R-
heora,PS
bera,NB
dæige,NB
beon,V-
þa,PD
canonikes,NB
eruename,V-
of,R-
ealre,PY
æhte,NB
7,R-
þis,PD
beoð,V-
þa,PD
gewitnisse,NB
",",C-
þæt,PD
is,V-
Ægelwine,NE
Brihtmeres,NE
sune,NB
7,R-
Leofstan,NE
7,R-
Hearding,NE
7,R-
Bruning,NE
.,C-
þis,PD
is,V-
sy,V-
forewearde,V-
þe,G-
Ægelward,NE
hafð,V-
gemacad,V-
wið,R-
þonne,G-
decanus,PD
7,NB
wið,R-
ealle,PY
þa,PD
gebroðre,NB
of,R-
sce,NB
Paules,NE
mynstre,NB
þæt,PD
is,V-
of,R-
ane,PY
healfe,NB
hyde,V-
landes,NB
æt,R-
Sandune,NE
þæt,G-
he,PP
sceal,A-
æfrice,NB
geare,NB
gyuen,V-
.,C-
viii,PY
.,C-
horen,V-
for,R-
ealle,PY
þinc,NB
7,G-
hi,PP
sculan,V-
baþa,DF
habban,V-
he,PP
7,R-
hys,PD
wif,NB
þa,PD
hwile,NB
þa,PD
hy,NB
lyfieð,V-
7,DF
æfter,R-
hyre,PS
begre,NB
dæge,NB
habba,DF
scs,V-
Paulus,NE
eall,PY
þæt,PD
hy,NB
þær,DF
æfter,R-
belæfeð,V-
þa,G-
him,PP
mid,R-
rihte,NB
to,R-
gebyrige,A-
oppan,NB
þan,V-
ilcan,A-
lande,NB
7,DF
þæt,G-
he,PP
habba,V-
þæt,PD
land,NB
swa,DF
swa,G-
hit,PP
nu,DF
gelogod,V-
is,V-
.,C-
7,R-
þis,PD
synd,V-
þa,PD
gewitnysse,NB
",",C-
þæt,PD
is,V-
se,PD
decanus,NB
7,R-
þa,PD
fuwer,A-
arcediacones,NB
7,R-
þysre,A-
gewrite,NB
syndon,V-
twa,PY
",",C-
an,PY
haben,NB
þa,PD
gebroðre,A-
7,NB
þæt,PD
oðer,A-
Ægelward,NE
",",C-
7,DF
hær,DF
wið,V-
wæs,V-
Colswegen,NE
7,NB
Ægelmær,DF
7,R-
Sexi,NE
.,C-
