form,lemma
þis,þis
his,he
sy,wesan
forewearde,forewearde
þe,se
Brichtric,Brichtric
7,7
his,he
gebedde,gebedde
habbað,habban
wið,wið
þa,þa
canonicas,canonicas
",",","
þæt,þæt
his,he
þæt,þæt
heo,heo
sculan,sculan
habban,habban
heora,hi
beira,beira
dæi,dæi
anes,an
canonikes,canonikes
gerihte,gerihte
on,on
mete,mete
7,7
on,on
eale,eale
7,7
heo,heo
habbað,habban
geunnen,geunnen
hyra,hi
land,land
þam,se
canonike,canonike
scær,scær
7,7
saccleas,saccleas
",",","
7,7
æfter,æfter
heora,hi
bera,bera
dæige,dæige
beon,beon
þa,þa
canonikes,canonikes
eruename,eruename
of,of
ealre,eal
æhte,æhte
7,7
þis,þis
beoð,beon
þa,þa
gewitnisse,gewitnisse
",",","
þæt,þæt
is,is
Ægelwine,Ægelwine
Brihtmeres,Brihtmeres
sune,sune
7,7
Leofstan,Leofstan
7,7
Hearding,Hearding
7,7
Bruning,Bruning
.,.
þis,þis
is,is
sy,wesan
forewearde,forewearde
þe,se
Ægelward,Ægelward
hafð,hafð
gemacad,gemacad
wið,wið
þonne,se
decanus,decanus
7,7
wið,wið
ealle,ealle
þa,þa
gebroðre,gebroðre
of,of
sce,sce
Paules,paulus
mynstre,mynster
þæt,þæt
is,is
of,of
ane,an
healfe,healf
hyde,hyd
landes,land
æt,æt
Sandune,Sandune
þæt,þæt
he,he
sceal,sculan
æfrice,æfrice
geare,geare
gyuen,gyuen
.,.
viii,viii
.,.
horen,horen
for,for
ealle,ealle
þinc,þing
7,7
hi,hi
sculan,sculan
baþa,baþian
habban,habban
he,he
7,7
hys,his
wif,wif
þa,þa
hwile,hwil
þa,þa
hy,hi
lyfieð,lyfieð
7,7
æfter,æfter
hyre,heo
begre,begre
dæge,dæge
habba,habba
scs,scs
Paulus,paulus
eall,eall
þæt,þæt
hy,hi
þær,þær
æfter,æfter
belæfeð,belæfeð
þa,þa
him,he
mid,mid
rihte,rihte
to,to
gebyrige,gebyrian
oppan,oppan
þan,se
ilcan,ilca
lande,land
7,7
þæt,þæt
he,he
habba,habba
þæt,þæt
land,land
swa,swa
swa,swa
hit,hit
nu,nu
gelogod,gelogod
is,is
.,.
7,7
þis,þis
synd,wesan
þa,þa
gewitnysse,gewitnysse
",",","
þæt,þæt
is,is
se,se
decanus,decanus
7,7
þa,þa
fuwer,fuwer
arcediacones,arcediacones
7,7
þysre,þysre
gewrite,gewrit
syndon,wesan
twa,twegen
",",","
an,on
haben,haben
þa,þa
gebroðre,gebroðre
7,7
þæt,þæt
oðer,oðer
Ægelward,Ægelward
",",","
7,7
hær,hær
wið,wið
wæs,beon
Colswegen,Colswegen
7,7
Ægelmær,Ægelmær
7,7
Sexi,Sexi
.,.
